objective_parameter,scenario_of_interest,robustness_metric,year,flood_urb,Value,normalized_values,pw_combi
Impacted_Buildings_[#],D&Wp,average,100,9,810.0,0.11,00_00_09_00
Impacted_Buildings_[#],D&Wp,average,100,11,3060.0,0.43,00_00_11_00
Impacted_Buildings_[#],D&Wp,average,100,13,2480.0,0.35,00_00_13_00
Impacted_Buildings_[#],G,average,20,0,730.0,0.91,00_00_00_00
Impacted_Buildings_[#],G,average,20,1,710.0,0.88,00_00_01_00
Impacted_Buildings_[#],G,average,20,3,680.0,0.85,00_00_03_00
Impacted_Buildings_[#],G,average,20,5,230.0,0.28,00_00_05_00
Impacted_Buildings_[#],G,average,20,7,250.0,0.31,00_00_07_00
Impacted_Buildings_[#],G,average,20,9,230.0,0.28,00_00_09_00
Impacted_Buildings_[#],G,average,20,11,730.0,0.91,00_00_11_00
Impacted_Buildings_[#],G,average,20,13,660.0,0.82,00_00_13_00
Impacted_Buildings_[#],G,average,60,0,2550.0,0.83,00_00_00_00
Impacted_Buildings_[#],G,average,60,1,2150.0,0.7,00_00_01_00
Impacted_Buildings_[#],G,average,60,3,2100.0,0.68,00_00_03_00
Impacted_Buildings_[#],G,average,60,5,820.0,0.27,00_00_05_00
Impacted_Buildings_[#],G,average,60,7,1020.0,0.33,00_00_07_00
Impacted_Buildings_[#],G,average,60,9,770.0,0.25,00_00_09_00
Impacted_Buildings_[#],G,average,60,11,2300.0,0.75,00_00_11_00
Impacted_Buildings_[#],G,average,60,13,2060.0,0.67,00_00_13_00
Impacted_Buildings_[#],G,average,100,0,4170.0,0.72,00_00_00_00
Impacted_Buildings_[#],G,average,100,1,2400.0,0.42,00_00_01_00
Impacted_Buildings_[#],G,average,100,3,2350.0,0.4,00_00_03_00
Impacted_Buildings_[#],G,average,100,5,860.0,0.15,00_00_05_00
Impacted_Buildings_[#],G,average,100,7,1070.0,0.18,00_00_07_00
Impacted_Buildings_[#],G,average,100,9,770.0,0.13,00_00_09_00
Impacted_Buildings_[#],G,average,100,11,2860.0,0.49,00_00_11_00
Impacted_Buildings_[#],G,average,100,13,2390.0,0.41,00_00_13_00
Impacted_Buildings_[#],G&Wp,average,20,0,790.0,0.94,00_00_00_00
Impacted_Buildings_[#],G&Wp,average,20,1,770.0,0.91,00_00_01_00
Impacted_Buildings_[#],G&Wp,average,20,3,730.0,0.86,00_00_03_00
Impacted_Buildings_[#],G&Wp,average,20,5,230.0,0.26,00_00_05_00
Impacted_Buildings_[#],G&Wp,average,20,7,250.0,0.29,00_00_07_00
Impacted_Buildings_[#],G&Wp,average,20,9,230.0,0.26,00_00_09_00
Impacted_Buildings_[#],G&Wp,average,20,11,790.0,0.94,00_00_11_00
Impacted_Buildings_[#],G&Wp,average,20,13,720.0,0.86,00_00_13_00
Impacted_Buildings_[#],G&Wp,average,60,0,3010.0,0.8,00_00_00_00
Impacted_Buildings_[#],G&Wp,average,60,1,2520.0,0.67,00_00_01_00
Impacted_Buildings_[#],G&Wp,average,60,3,2460.0,0.66,00_00_03_00
Impacted_Buildings_[#],G&Wp,average,60,5,900.0,0.24,00_00_05_00
Impacted_Buildings_[#],G&Wp,average,60,7,1120.0,0.3,00_00_07_00
Impacted_Buildings_[#],G&Wp,average,60,9,850.0,0.23,00_00_09_00
Impacted_Buildings_[#],G&Wp,average,60,11,2720.0,0.73,00_00_11_00
Impacted_Buildings_[#],G&Wp,average,60,13,2360.0,0.63,00_00_13_00
Impacted_Buildings_[#],G&Wp,average,100,0,4780.0,0.59,00_00_00_00
Impacted_Buildings_[#],G&Wp,average,100,1,2690.0,0.33,00_00_01_00
Impacted_Buildings_[#],G&Wp,average,100,3,2630.0,0.33,00_00_03_00
Impacted_Buildings_[#],G&Wp,average,100,5,950.0,0.12,00_00_05_00
Impacted_Buildings_[#],G&Wp,average,100,7,1160.0,0.15,00_00_07_00
Impacted_Buildings_[#],G&Wp,average,100,9,870.0,0.11,00_00_09_00
