objective_parameter,scenario_of_interest,robustness_metric,year,drought_agr,Value,normalized_values,pw_combi
Farmer_Drought_Costs_[MEUR],D&Wp,average,100,6,130.0,0.67,00_06_00_00
Farmer_Drought_Costs_[MEUR],D&Wp,average,100,7,90.0,0.46,00_07_00_00
Farmer_Drought_Costs_[MEUR],D&Wp,average,100,8,70.0,0.38,00_08_00_00
Farmer_Drought_Costs_[MEUR],D&Wp,average,100,9,120.0,0.64,00_09_00_00
Farmer_Drought_Costs_[MEUR],G,average,20,0,0.0,0.0,00_00_00_00
Farmer_Drought_Costs_[MEUR],G,average,20,1,10.0,0.1,00_01_00_00
Farmer_Drought_Costs_[MEUR],G,average,20,3,10.0,0.21,00_03_00_00
Farmer_Drought_Costs_[MEUR],G,average,20,5,10.0,0.37,00_05_00_00
Farmer_Drought_Costs_[MEUR],G,average,20,6,10.0,0.29,00_06_00_00
Farmer_Drought_Costs_[MEUR],G,average,20,7,10.0,0.31,00_07_00_00
Farmer_Drought_Costs_[MEUR],G,average,20,8,10.0,0.27,00_08_00_00
Farmer_Drought_Costs_[MEUR],G,average,20,9,10.0,0.02,00_09_00_00
Farmer_Drought_Costs_[MEUR],G,average,60,0,0.0,0.0,00_00_00_00
Farmer_Drought_Costs_[MEUR],G,average,60,1,40.0,0.36,00_01_00_00
Farmer_Drought_Costs_[MEUR],G,average,60,3,40.0,0.36,00_03_00_00
Farmer_Drought_Costs_[MEUR],G,average,60,5,80.0,0.75,00_05_00_00
Farmer_Drought_Costs_[MEUR],G,average,60,6,60.0,0.53,00_06_00_00
Farmer_Drought_Costs_[MEUR],G,average,60,7,30.0,0.26,00_07_00_00
Farmer_Drought_Costs_[MEUR],G,average,60,8,20.0,0.19,00_08_00_00
Farmer_Drought_Costs_[MEUR],G,average,60,9,50.0,0.4,00_09_00_00
Farmer_Drought_Costs_[MEUR],G,average,100,0,0.0,0.0,00_00_00_00
Farmer_Drought_Costs_[MEUR],G,average,100,1,90.0,0.45,00_01_00_00
Farmer_Drought_Costs_[MEUR],G,average,100,3,90.0,0.46,00_03_00_00
Farmer_Drought_Costs_[MEUR],G,average,100,5,150.0,0.79,00_05_00_00
Farmer_Drought_Costs_[MEUR],G,average,100,6,120.0,0.63,00_06_00_00
Farmer_Drought_Costs_[MEUR],G,average,100,7,50.0,0.24,00_07_00_00
Farmer_Drought_Costs_[MEUR],G,average,100,8,40.0,0.2,00_08_00_00
Farmer_Drought_Costs_[MEUR],G,average,100,9,120.0,0.61,00_09_00_00
Farmer_Drought_Costs_[MEUR],G&Wp,average,20,0,0.0,0.0,00_00_00_00
Farmer_Drought_Costs_[MEUR],G&Wp,average,20,1,10.0,0.12,00_01_00_00
Farmer_Drought_Costs_[MEUR],G&Wp,average,20,3,10.0,0.21,00_03_00_00
Farmer_Drought_Costs_[MEUR],G&Wp,average,20,5,20.0,0.42,00_05_00_00
Farmer_Drought_Costs_[MEUR],G&Wp,average,20,6,10.0,0.31,00_06_00_00
Farmer_Drought_Costs_[MEUR],G&Wp,average,20,7,10.0,0.35,00_07_00_00
Farmer_Drought_Costs_[MEUR],G&Wp,average,20,8,10.0,0.27,00_08_00_00
Farmer_Drought_Costs_[MEUR],G&Wp,average,20,9,10.0,0.02,00_09_00_00
Farmer_Drought_Costs_[MEUR],G&Wp,average,60,0,0.0,0.0,00_00_00_00
Farmer_Drought_Costs_[MEUR],G&Wp,average,60,1,50.0,0.45,00_01_00_00
Farmer_Drought_Costs_[MEUR],G&Wp,average,60,3,50.0,0.45,00_03_00_00
Farmer_Drought_Costs_[MEUR],G&Wp,average,60,5,80.0,0.79,00_05_00_00
Farmer_Drought_Costs_[MEUR],G&Wp,average,60,6,70.0,0.61,00_06_00_00
Farmer_Drought_Costs_[MEUR],G&Wp,average,60,7,50.0,0.44,00_07_00_00
Farmer_Drought_Costs_[MEUR],G&Wp,average,60,8,40.0,0.34,00_08_00_00
Farmer_Drought_Costs_[MEUR],G&Wp,average,60,9,50.0,0.47,00_09_00_00
Farmer_Drought_Costs_[MEUR],G&Wp,average,100,0,0.0,0.0,00_00_00_00
Farmer_Drought_Costs_[MEUR],G&Wp,average,100,1,110.0,0.56,00_01_00_00
Farmer_Drought_Costs_[MEUR],G&Wp,average,100,3,110.0,0.57,00_03_00_00
Farmer_Drought_Costs_[MEUR],G&Wp,average,100,5,150.0,0.82,00_05_00_00
Farmer_Drought_Costs_[MEUR],G&Wp,average,100,6,130.0,0.69,00_06_00_00
Farmer_Drought_Costs_[MEUR],G&Wp,average,100,7,90.0,0.49,00_07_00_00
Farmer_Drought_Costs_[MEUR],G&Wp,average,100,8,80.0,0.43,00_08_00_00
Farmer_Drought_Costs_[MEUR],G&Wp,average,100,9,120.0,0.66,00_09_00_00
Farmer_Drought_Costs_[MEUR],Wp,average,20,0,0.0,0.0,00_00_00_00
