objective_parameter,scenario_of_interest,robustness_metric,year,drought_agr,Value,normalized_values,pw_combi
Crop_Loss,D&Wp,average,60,07,62.21,0.31,00_07_00_00
Crop_Loss,D&Wp,average,60,08,82.46,0.41,00_08_00_00
Crop_Loss,D&Wp,average,60,09,122.29,0.61,00_09_00_00
Crop_Loss,D&Wp,average,100,00,395.46,1.0,00_00_00_00
Crop_Loss,D&Wp,average,100,01,220.18,0.56,00_01_00_00
Crop_Loss,D&Wp,average,100,03,217.01,0.55,00_03_00_00
Crop_Loss,D&Wp,average,100,05,124.58,0.32,00_05_00_00
Crop_Loss,D&Wp,average,100,06,124.04,0.31,00_06_00_00
Crop_Loss,D&Wp,average,100,07,108.99,0.28,00_07_00_00
Crop_Loss,D&Wp,average,100,08,161.32,0.41,00_08_00_00
Crop_Loss,D&Wp,average,100,09,200.47,0.51,00_09_00_00
Crop_Loss,G,average,20,00,35.91,1.0,00_00_00_00
Crop_Loss,G,average,20,01,36.91,1.03,00_01_00_00
Crop_Loss,G,average,20,03,34.45,0.96,00_03_00_00
Crop_Loss,G,average,20,05,30.46,0.85,00_05_00_00
Crop_Loss,G,average,20,06,31.7,0.88,00_06_00_00
Crop_Loss,G,average,20,07,24.2,0.67,00_07_00_00
Crop_Loss,G,average,20,08,24.57,0.68,00_08_00_00
Crop_Loss,G,average,20,09,31.49,0.88,00_09_00_00
Crop_Loss,G,average,60,00,136.34,1.0,00_00_00_00
Crop_Loss,G,average,60,01,104.14,0.76,00_01_00_00
Crop_Loss,G,average,60,03,100.97,0.74,00_03_00_00
Crop_Loss,G,average,60,05,57.64,0.42,00_05_00_00
Crop_Loss,G,average,60,06,73.45,0.54,00_06_00_00
Crop_Loss,G,average,60,07,51.84,0.38,00_07_00_00
Crop_Loss,G,average,60,08,58.75,0.43,00_08_00_00
Crop_Loss,G,average,60,09,96.6,0.71,00_09_00_00
Crop_Loss,G,average,100,00,232.32,1.0,00_00_00_00
Crop_Loss,G,average,100,01,159.35,0.69,00_01_00_00
Crop_Loss,G,average,100,03,156.18,0.67,00_03_00_00
Crop_Loss,G,average,100,05,84.2,0.36,00_05_00_00
Crop_Loss,G,average,100,06,98.64,0.42,00_06_00_00
Crop_Loss,G,average,100,07,82.8,0.36,00_07_00_00
Crop_Loss,G,average,100,08,94.89,0.41,00_08_00_00
Crop_Loss,G,average,100,09,149.63,0.64,00_09_00_00
Crop_Loss,G&Wp,average,20,00,43.68,1.0,00_00_00_00
Crop_Loss,G&Wp,average,20,01,44.58,1.02,00_01_00_00
Crop_Loss,G&Wp,average,20,03,41.54,0.95,00_03_00_00
Crop_Loss,G&Wp,average,20,05,34.46,0.79,00_05_00_00
Crop_Loss,G&Wp,average,20,06,37.06,0.85,00_06_00_00
Crop_Loss,G&Wp,average,20,07,25.3,0.58,00_07_00_00
Crop_Loss,G&Wp,average,20,08,26.09,0.6,00_08_00_00
Crop_Loss,G&Wp,average,20,09,37.27,0.85,00_09_00_00
Crop_Loss,G&Wp,average,60,00,206.44,1.0,00_00_00_00
Crop_Loss,G&Wp,average,60,01,136.23,0.66,00_01_00_00
Crop_Loss,G&Wp,average,60,03,132.68,0.64,00_03_00_00
Crop_Loss,G&Wp,average,60,05,71.89,0.35,00_05_00_00
Crop_Loss,G&Wp,average,60,06,87.63,0.42,00_06_00_00
Crop_Loss,G&Wp,average,60,07,65.29,0.32,00_07_00_00
Crop_Loss,G&Wp,average,60,08,87.43,0.42,00_08_00_00
Crop_Loss,G&Wp,average,60,09,126.17,0.61,00_09_00_00
Crop_Loss,G&Wp,average,100,00,413.36,1.0,00_00_00_00
Crop_Loss,G&Wp,average,100,01,231.88,0.56,00_01_00_00
Crop_Loss,G&Wp,average,100,03,228.32,0.55,00_03_00_00
Crop_Loss,G&Wp,average,100,05,132.39,0.32,00_05_00_00
Crop_Loss,G&Wp,average,100,06,132.35,0.32,00_06_00_00
Crop_Loss,G&Wp,average,100,07,118.34,0.29,00_07_00_00
Crop_Loss,G&Wp,average,100,08,173.86,0.42,00_08_00_00
Crop_Loss,G&Wp,average,100,09,211.19,0.51,00_09_00_00
Crop_Loss,Wp,average,20,00,51.44,1.0,00_00_00_00
Crop_Loss,Wp,average,20,01,52.26,1.02,00_01_00_00
Crop_Loss,Wp,average,20,03,48.63,0.95,00_03_00_00
Crop_Loss,Wp,average,20,05,38.45,0.75,00_05_00_00
Crop_Loss,Wp,average,20,06,42.42,0.82,00_06_00_00
Crop_Loss,Wp,average,20,07,26.4,0.51,00_07_00_00
Crop_Loss,Wp,average,20,08,27.62,0.54,00_08_00_00
Crop_Loss,Wp,average,20,09,43.04,0.84,00_09_00_00
Crop_Loss,Wp,average,60,00,276.55,1.0,00_00_00_00
Crop_Loss,Wp,average,60,01,168.33,0.61,00_01_00_00
Crop_Loss,Wp,average,60,03,164.39,0.59,00_03_00_00
Crop_Loss,Wp,average,60,05,86.13,0.31,00_05_00_00
Crop_Loss,Wp,average,60,06,101.81,0.37,00_06_00_00
Crop_Loss,Wp,average,60,07,78.74,0.28,00_07_00_00
Crop_Loss,Wp,average,60,08,116.1,0.42,00_08_00_00
Crop_Loss,Wp,average,60,09,155.74,0.56,00_09_00_00
Crop_Loss,Wp,average,100,00,594.4,1.0,00_00_00_00
Crop_Loss,Wp,average,100,01,304.4,0.51,00_01_00_00
Crop_Loss,Wp,average,100,03,300.45,0.51,00_03_00_00
Crop_Loss,Wp,average,100,05,180.59,0.3,00_05_00_00
Crop_Loss,Wp,average,100,06,166.05,0.28,00_06_00_00
Crop_Loss,Wp,average,100,07,153.88,0.26,00_07_00_00
Crop_Loss,Wp,average,100,08,252.83,0.43,00_08_00_00
Crop_Loss,Wp,average,100,09,272.74,0.46,00_09_00_00
Farmer_Drought_Measure_Costs,D,average,20,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D,average,20,01,1.95,0.08,00_01_00_00
Farmer_Drought_Measure_Costs,D,average,20,03,5.13,0.21,00_03_00_00
Farmer_Drought_Measure_Costs,D,average,20,05,7.97,0.32,00_05_00_00
Farmer_Drought_Measure_Costs,D,average,20,06,6.61,0.26,00_06_00_00
Farmer_Drought_Measure_Costs,D,average,20,07,7.67,0.31,00_07_00_00
Farmer_Drought_Measure_Costs,D,average,20,08,6.6,0.26,00_08_00_00
Farmer_Drought_Measure_Costs,D,average,20,09,0.48,0.02,00_09_00_00
Farmer_Drought_Measure_Costs,D,average,60,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D,average,60,01,34.41,0.34,00_01_00_00
Farmer_Drought_Measure_Costs,D,average,60,03,32.69,0.33,00_03_00_00
Farmer_Drought_Measure_Costs,D,average,60,05,68.31,0.68,00_05_00_00
Farmer_Drought_Measure_Costs,D,average,60,06,49.75,0.5,00_06_00_00
Farmer_Drought_Measure_Costs,D,average,60,07,19.31,0.19,00_07_00_00
Farmer_Drought_Measure_Costs,D,average,60,08,12.41,0.12,00_08_00_00
Farmer_Drought_Measure_Costs,D,average,60,09,36.91,0.37,00_09_00_00
Farmer_Drought_Measure_Costs,D,average,100,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D,average,100,01,76.8,0.43,00_01_00_00
Farmer_Drought_Measure_Costs,D,average,100,03,75.08,0.42,00_03_00_00
Farmer_Drought_Measure_Costs,D,average,100,05,133.5,0.74,00_05_00_00
Farmer_Drought_Measure_Costs,D,average,100,06,107.68,0.6,00_06_00_00
Farmer_Drought_Measure_Costs,D,average,100,07,30.87,0.17,00_07_00_00
Farmer_Drought_Measure_Costs,D,average,100,08,18.23,0.1,00_08_00_00
Farmer_Drought_Measure_Costs,D,average,100,09,104.79,0.58,00_09_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,01,2.21,0.09,00_01_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,03,5.14,0.21,00_03_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,05,8.59,0.34,00_05_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,06,6.9,0.28,00_06_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,07,7.71,0.31,00_07_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,08,6.64,0.27,00_08_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,09,0.5,0.02,00_09_00_00
Farmer_Drought_Measure_Costs,D&G,average,60,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&G,average,60,01,35.81,0.36,00_01_00_00
Farmer_Drought_Measure_Costs,D&G,average,60,03,34.7,0.35,00_03_00_00
Farmer_Drought_Measure_Costs,D&G,average,60,05,71.7,0.72,00_05_00_00
Farmer_Drought_Measure_Costs,D&G,average,60,06,51.54,0.52,00_06_00_00
Farmer_Drought_Measure_Costs,D&G,average,60,07,22.45,0.22,00_07_00_00
Farmer_Drought_Measure_Costs,D&G,average,60,08,16.05,0.16,00_08_00_00
Farmer_Drought_Measure_Costs,D&G,average,60,09,38.82,0.39,00_09_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,01,84.62,0.47,00_01_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,03,83.5,0.46,00_03_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,05,137.83,0.77,00_05_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,06,110.73,0.62,00_06_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,07,37.18,0.21,00_07_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,08,27.97,0.16,00_08_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,09,108.85,0.6,00_09_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,01,2.51,0.1,00_01_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,03,5.17,0.21,00_03_00_00
