objective_parameter,scenario_of_interest,robustness_metric,year,drought_agr,Value,normalized_values,pw_combi
Farmer_Drought_Measure_Costs,D&G,average,60,05,70.59,0.71,00_05_00_00
Farmer_Drought_Measure_Costs,D&G,average,60,06,50.58,0.51,00_06_00_00
Farmer_Drought_Measure_Costs,D&G,average,60,07,22.37,0.22,00_07_00_00
Farmer_Drought_Measure_Costs,D&G,average,60,08,15.59,0.16,00_08_00_00
Farmer_Drought_Measure_Costs,D&G,average,60,09,37.28,0.37,00_09_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,01,73.87,0.41,00_01_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,03,74.64,0.41,00_03_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,05,135.57,0.76,00_05_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,06,108.65,0.61,00_06_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,07,36.92,0.21,00_07_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,08,26.24,0.15,00_08_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,09,103.76,0.58,00_09_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,01,2.48,0.1,00_01_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,03,5.16,0.21,00_03_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,05,9.54,0.38,00_05_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,06,7.35,0.3,00_06_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,07,8.34,0.34,00_07_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,08,6.76,0.27,00_08_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,09,0.56,0.02,00_09_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,01,40.28,0.4,00_01_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,03,39.67,0.4,00_03_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,05,74.43,0.74,00_05_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,06,56.28,0.56,00_06_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,07,34.55,0.35,00_07_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,08,25.55,0.25,00_08_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,09,42.64,0.43,00_09_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,01,89.28,0.5,00_01_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,03,89.56,0.5,00_03_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,05,141.17,0.79,00_05_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,06,116.96,0.65,00_06_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,07,66.87,0.37,00_07_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,08,54.81,0.3,00_08_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,09,111.28,0.62,00_09_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,20,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,20,01,2.49,0.1,00_01_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,20,03,5.17,0.21,00_03_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,20,05,9.78,0.39,00_05_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,20,06,7.47,0.3,00_06_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,20,07,8.64,0.34,00_07_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,20,08,6.81,0.27,00_08_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,20,09,0.58,0.02,00_09_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,01,42.85,0.43,00_01_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,03,42.15,0.42,00_03_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,05,74.64,0.75,00_05_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,06,58.21,0.58,00_06_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,07,39.08,0.39,00_07_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,08,28.91,0.29,00_08_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,09,44.25,0.44,00_09_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,01,93.78,0.52,00_01_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,03,93.96,0.52,00_03_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,05,141.78,0.79,00_05_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,06,119.53,0.66,00_06_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,07,78.74,0.44,00_07_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,08,65.0,0.36,00_08_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,09,112.97,0.63,00_09_00_00
Farmer_Drought_Measure_Costs,G,average,20,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,G,average,20,01,2.48,0.1,00_01_00_00
Farmer_Drought_Measure_Costs,G,average,20,03,5.15,0.21,00_03_00_00
Farmer_Drought_Measure_Costs,G,average,20,05,9.06,0.36,00_05_00_00
Farmer_Drought_Measure_Costs,G,average,20,06,7.11,0.29,00_06_00_00
Farmer_Drought_Measure_Costs,G,average,20,07,7.74,0.31,00_07_00_00
Farmer_Drought_Measure_Costs,G,average,20,08,6.66,0.27,00_08_00_00
Farmer_Drought_Measure_Costs,G,average,20,09,0.52,0.02,00_09_00_00
Farmer_Drought_Measure_Costs,G,average,60,00,0.0,0.0,00_00_00_00
