objective_parameter,scenario_of_interest,robustness_metric,year,flood_agr,Value,normalized_values,pw_combi
Farmer_Flood_Measure_Costs,G&Wp,average,20,13,0.47,0.01,13_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,60,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,60,01,18.67,0.05,01_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,60,03,17.49,0.05,03_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,60,05,101.12,0.29,05_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,60,07,103.07,0.3,07_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,60,09,63.34,0.18,09_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,60,11,28.91,0.08,11_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,60,13,62.85,0.18,13_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,100,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,100,01,34.51,0.07,01_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,100,03,29.69,0.06,03_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,100,05,109.3,0.22,05_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,100,07,109.57,0.22,07_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,100,09,160.5,0.32,09_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,100,11,93.0,0.19,11_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,100,13,92.33,0.19,13_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,20,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,20,01,0.04,0.0,01_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,20,03,0.02,0.0,03_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,20,05,21.0,0.14,05_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,20,07,26.62,0.18,07_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,20,09,2.29,0.02,09_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,20,11,0.04,0.0,11_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,20,13,0.43,0.0,13_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,60,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,60,01,24.9,0.07,01_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,60,03,24.52,0.07,03_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,60,05,108.12,0.31,05_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,60,07,112.0,0.32,07_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,60,09,65.96,0.19,09_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,60,11,32.84,0.09,11_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,60,13,71.26,0.2,13_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,100,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,100,01,51.57,0.1,01_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,100,03,44.86,0.09,03_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,100,05,113.12,0.23,05_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,100,07,112.35,0.23,07_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,100,09,170.94,0.34,09_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,100,11,112.13,0.23,11_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,100,13,102.16,0.21,13_00_00_00
Farmer_Structural_Damage,D,average,20,00,27.47,0.74,00_00_00_00
Farmer_Structural_Damage,D,average,20,01,27.35,0.73,01_00_00_00
Farmer_Structural_Damage,D,average,20,03,27.07,0.72,03_00_00_00
Farmer_Structural_Damage,D,average,20,05,23.0,0.62,05_00_00_00
Farmer_Structural_Damage,D,average,20,07,23.0,0.62,07_00_00_00
Farmer_Structural_Damage,D,average,20,09,26.58,0.71,09_00_00_00
Farmer_Structural_Damage,D,average,20,11,27.35,0.73,11_00_00_00
Farmer_Structural_Damage,D,average,20,13,27.47,0.74,13_00_00_00
Farmer_Structural_Damage,D,average,60,00,89.46,0.68,00_00_00_00
Farmer_Structural_Damage,D,average,60,01,88.0,0.67,01_00_00_00
Farmer_Structural_Damage,D,average,60,03,86.04,0.66,03_00_00_00
Farmer_Structural_Damage,D,average,60,05,59.5,0.45,05_00_00_00
Farmer_Structural_Damage,D,average,60,07,57.48,0.44,07_00_00_00
Farmer_Structural_Damage,D,average,60,09,85.6,0.65,09_00_00_00
Farmer_Structural_Damage,D,average,60,11,87.6,0.67,11_00_00_00
Farmer_Structural_Damage,D,average,60,13,85.2,0.65,13_00_00_00
Farmer_Structural_Damage,D,average,100,00,113.94,0.57,00_00_00_00
Farmer_Structural_Damage,D,average,100,01,110.64,0.56,01_00_00_00
