objective_parameter,scenario_of_interest,robustness_metric,year,drought_shp,Value,normalized_values,pw_combi
Delayed_Ships_[#],Wp,average,60,7,220.0,0.3,00_00_00_07
Delayed_Ships_[#],Wp,average,60,8,220.0,0.3,00_00_00_08
Delayed_Ships_[#],Wp,average,60,9,220.0,0.3,00_00_00_09
Delayed_Ships_[#],Wp,average,100,0,1390.0,1.0,00_00_00_00
Delayed_Ships_[#],Wp,average,100,1,480.0,0.34,00_00_00_01
Delayed_Ships_[#],Wp,average,100,2,610.0,0.44,00_00_00_02
Delayed_Ships_[#],Wp,average,100,4,570.0,0.41,00_00_00_04
Delayed_Ships_[#],Wp,average,100,5,520.0,0.38,00_00_00_05
Delayed_Ships_[#],Wp,average,100,7,410.0,0.3,00_00_00_07
Delayed_Ships_[#],Wp,average,100,8,410.0,0.3,00_00_00_08
Delayed_Ships_[#],Wp,average,100,9,410.0,0.3,00_00_00_09
Shipping_Costs_[MEUR],D,average,20,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],D,average,20,1,550.0,0.42,00_00_00_01
Shipping_Costs_[MEUR],D,average,20,2,20.0,0.01,00_00_00_02
Shipping_Costs_[MEUR],D,average,20,4,50.0,0.03,00_00_00_04
Shipping_Costs_[MEUR],D,average,20,5,50.0,0.03,00_00_00_05
Shipping_Costs_[MEUR],D,average,20,7,1240.0,0.95,00_00_00_07
Shipping_Costs_[MEUR],D,average,20,8,1240.0,0.95,00_00_00_08
Shipping_Costs_[MEUR],D,average,20,9,1240.0,0.95,00_00_00_09
Shipping_Costs_[MEUR],D,average,60,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],D,average,60,1,1090.0,0.51,00_00_00_01
Shipping_Costs_[MEUR],D,average,60,2,90.0,0.04,00_00_00_02
Shipping_Costs_[MEUR],D,average,60,4,150.0,0.07,00_00_00_04
Shipping_Costs_[MEUR],D,average,60,5,1090.0,0.51,00_00_00_05
Shipping_Costs_[MEUR],D,average,60,7,1980.0,0.92,00_00_00_07
Shipping_Costs_[MEUR],D,average,60,8,1980.0,0.92,00_00_00_08
Shipping_Costs_[MEUR],D,average,60,9,1980.0,0.92,00_00_00_09
Shipping_Costs_[MEUR],D,average,100,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],D,average,100,1,1550.0,0.47,00_00_00_01
Shipping_Costs_[MEUR],D,average,100,2,170.0,0.05,00_00_00_02
Shipping_Costs_[MEUR],D,average,100,4,260.0,0.08,00_00_00_04
Shipping_Costs_[MEUR],D,average,100,5,1660.0,0.5,00_00_00_05
Shipping_Costs_[MEUR],D,average,100,7,2720.0,0.82,00_00_00_07
Shipping_Costs_[MEUR],D,average,100,8,2720.0,0.82,00_00_00_08
Shipping_Costs_[MEUR],D,average,100,9,2720.0,0.82,00_00_00_09
Shipping_Costs_[MEUR],D&G,average,20,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],D&G,average,20,1,550.0,0.42,00_00_00_01
Shipping_Costs_[MEUR],D&G,average,20,2,20.0,0.01,00_00_00_02
Shipping_Costs_[MEUR],D&G,average,20,4,50.0,0.03,00_00_00_04
