objective_parameter,scenario_of_interest,robustness_metric,year,flood_agr,Value,normalized_values,pw_combi
Crop_Productivity_Loss_[%],G&Wp,average,60,5,20.0,0.47,05_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,60,7,20.0,0.47,07_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,60,9,30.0,0.6,09_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,60,11,20.0,0.54,11_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,60,13,20.0,0.5,13_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,0,30.0,0.5,00_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,1,30.0,0.5,01_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,3,30.0,0.53,03_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,5,20.0,0.38,05_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,7,20.0,0.38,07_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,9,30.0,0.53,09_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,11,30.0,0.48,11_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,13,20.0,0.41,13_00_00_00
Crop_Productivity_Loss_[%],Wp,average,20,0,30.0,0.8,00_00_00_00
Crop_Productivity_Loss_[%],Wp,average,20,1,30.0,0.81,01_00_00_00
Crop_Productivity_Loss_[%],Wp,average,20,3,30.0,0.83,03_00_00_00
Crop_Productivity_Loss_[%],Wp,average,20,5,30.0,0.77,05_00_00_00
Crop_Productivity_Loss_[%],Wp,average,20,7,30.0,0.77,07_00_00_00
Crop_Productivity_Loss_[%],Wp,average,20,9,30.0,0.8,09_00_00_00
Crop_Productivity_Loss_[%],Wp,average,20,11,30.0,0.81,11_00_00_00
Crop_Productivity_Loss_[%],Wp,average,20,13,30.0,0.8,13_00_00_00
Crop_Productivity_Loss_[%],Wp,average,60,0,30.0,0.52,00_00_00_00
