objective_parameter,scenario_of_interest,robustness_metric,year,flood_agr,Value,normalized_values,pw_combi
Farmer_Flood_Costs_[MEUR],G&Wp,average,20,13,10.0,0.01,13_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,60,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,60,1,30.0,0.06,01_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,60,3,20.0,0.05,03_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,60,5,110.0,0.3,05_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,60,7,110.0,0.3,07_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,60,9,70.0,0.18,09_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,60,11,40.0,0.09,11_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,60,13,70.0,0.18,13_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,100,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,100,1,40.0,0.07,01_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,100,3,40.0,0.06,03_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,100,5,120.0,0.22,05_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,100,7,110.0,0.22,07_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,100,9,170.0,0.33,09_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,100,11,100.0,0.2,11_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,100,13,100.0,0.19,13_00_00_00
