objective_parameter,scenario_of_interest,robustness_metric,year,flood_urb,Value,normalized_values,pw_combi
Municipality_Measure_Costs,G,average,20,13,37.01,0.12,00_00_13_00
Municipality_Measure_Costs,G,average,60,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,G,average,60,01,109.67,0.2,00_00_01_00
Municipality_Measure_Costs,G,average,60,03,108.52,0.2,00_00_03_00
Municipality_Measure_Costs,G,average,60,05,135.92,0.25,00_00_05_00
Municipality_Measure_Costs,G,average,60,07,351.81,0.64,00_00_07_00
Municipality_Measure_Costs,G,average,60,09,150.06,0.27,00_00_09_00
Municipality_Measure_Costs,G,average,60,11,173.29,0.32,00_00_11_00
Municipality_Measure_Costs,G,average,60,13,230.26,0.42,00_00_13_00
Municipality_Measure_Costs,G,average,100,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,G,average,100,01,189.36,0.26,00_00_01_00
Municipality_Measure_Costs,G,average,100,03,183.39,0.26,00_00_03_00
Municipality_Measure_Costs,G,average,100,05,147.73,0.2,00_00_05_00
Municipality_Measure_Costs,G,average,100,07,371.66,0.52,00_00_07_00
Municipality_Measure_Costs,G,average,100,09,150.06,0.21,00_00_09_00
Municipality_Measure_Costs,G,average,100,11,391.13,0.54,00_00_11_00
Municipality_Measure_Costs,G,average,100,13,481.66,0.67,00_00_13_00
Municipality_Measure_Costs,G&Wp,average,20,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,G&Wp,average,20,01,20.42,0.06,00_00_01_00
Municipality_Measure_Costs,G&Wp,average,20,03,26.52,0.08,00_00_03_00
Municipality_Measure_Costs,G&Wp,average,20,05,56.0,0.17,00_00_05_00
Municipality_Measure_Costs,G&Wp,average,20,07,145.7,0.44,00_00_07_00
Municipality_Measure_Costs,G&Wp,average,20,09,71.0,0.22,00_00_09_00
Municipality_Measure_Costs,G&Wp,average,20,11,22.0,0.07,00_00_11_00
Municipality_Measure_Costs,G&Wp,average,20,13,35.44,0.11,00_00_13_00
Municipality_Measure_Costs,G&Wp,average,60,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,G&Wp,average,60,01,114.96,0.21,00_00_01_00
Municipality_Measure_Costs,G&Wp,average,60,03,113.93,0.21,00_00_03_00
Municipality_Measure_Costs,G&Wp,average,60,05,135.92,0.25,00_00_05_00
Municipality_Measure_Costs,G&Wp,average,60,07,351.81,0.64,00_00_07_00
Municipality_Measure_Costs,G&Wp,average,60,09,150.06,0.27,00_00_09_00
Municipality_Measure_Costs,G&Wp,average,60,11,178.43,0.32,00_00_11_00
Municipality_Measure_Costs,G&Wp,average,60,13,242.34,0.44,00_00_13_00
Municipality_Measure_Costs,G&Wp,average,100,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,G&Wp,average,100,01,187.12,0.26,00_00_01_00
Municipality_Measure_Costs,G&Wp,average,100,03,181.01,0.25,00_00_03_00
Municipality_Measure_Costs,G&Wp,average,100,05,148.92,0.2,00_00_05_00
Municipality_Measure_Costs,G&Wp,average,100,07,371.66,0.52,00_00_07_00
Municipality_Measure_Costs,G&Wp,average,100,09,155.25,0.22,00_00_09_00
Municipality_Measure_Costs,G&Wp,average,100,11,383.44,0.53,00_00_11_00
Municipality_Measure_Costs,G&Wp,average,100,13,473.2,0.66,00_00_13_00
Municipality_Measure_Costs,Wp,average,20,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,Wp,average,20,01,20.42,0.06,00_00_01_00
