objective_parameter,scenario_of_interest,robustness_metric,year,flood_urb,Value,normalized_values,pw_combi
Municipality_Measure_Costs,D&Wp,average,60,01,110.19,0.2,00_00_01_00
Municipality_Measure_Costs,D&Wp,average,60,03,109.26,0.2,00_00_03_00
Municipality_Measure_Costs,D&Wp,average,60,05,135.92,0.25,00_00_05_00
Municipality_Measure_Costs,D&Wp,average,60,07,350.06,0.63,00_00_07_00
Municipality_Measure_Costs,D&Wp,average,60,09,150.06,0.27,00_00_09_00
Municipality_Measure_Costs,D&Wp,average,60,11,179.32,0.32,00_00_11_00
Municipality_Measure_Costs,D&Wp,average,60,13,231.73,0.42,00_00_13_00
Municipality_Measure_Costs,D&Wp,average,100,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,D&Wp,average,100,01,187.53,0.26,00_00_01_00
Municipality_Measure_Costs,D&Wp,average,100,03,181.31,0.25,00_00_03_00
Municipality_Measure_Costs,D&Wp,average,100,05,148.92,0.2,00_00_05_00
Municipality_Measure_Costs,D&Wp,average,100,07,371.66,0.52,00_00_07_00
Municipality_Measure_Costs,D&Wp,average,100,09,155.25,0.22,00_00_09_00
Municipality_Measure_Costs,D&Wp,average,100,11,383.04,0.53,00_00_11_00
Municipality_Measure_Costs,D&Wp,average,100,13,464.35,0.65,00_00_13_00
Municipality_Measure_Costs,G,average,20,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,G,average,20,01,20.42,0.06,00_00_01_00
Municipality_Measure_Costs,G,average,20,03,26.52,0.08,00_00_03_00
Municipality_Measure_Costs,G,average,20,05,56.0,0.17,00_00_05_00
Municipality_Measure_Costs,G,average,20,07,145.7,0.44,00_00_07_00
Municipality_Measure_Costs,G,average,20,09,71.0,0.22,00_00_09_00
Municipality_Measure_Costs,G,average,20,11,22.0,0.07,00_00_11_00
Municipality_Measure_Costs,G,average,20,13,37.01,0.12,00_00_13_00
Municipality_Measure_Costs,G,average,60,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,G,average,60,01,105.84,0.19,00_00_01_00
Municipality_Measure_Costs,G,average,60,03,104.71,0.19,00_00_03_00
Municipality_Measure_Costs,G,average,60,05,135.92,0.25,00_00_05_00
Municipality_Measure_Costs,G,average,60,07,351.81,0.64,00_00_07_00
Municipality_Measure_Costs,G,average,60,09,150.06,0.27,00_00_09_00
Municipality_Measure_Costs,G,average,60,11,171.91,0.31,00_00_11_00
Municipality_Measure_Costs,G,average,60,13,224.53,0.41,00_00_13_00
Municipality_Measure_Costs,G,average,100,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,G,average,100,01,185.7,0.26,00_00_01_00
Municipality_Measure_Costs,G,average,100,03,179.74,0.25,00_00_03_00
Municipality_Measure_Costs,G,average,100,05,147.73,0.2,00_00_05_00
Municipality_Measure_Costs,G,average,100,07,371.66,0.52,00_00_07_00
Municipality_Measure_Costs,G,average,100,09,150.06,0.21,00_00_09_00
Municipality_Measure_Costs,G,average,100,11,388.38,0.54,00_00_11_00
Municipality_Measure_Costs,G,average,100,13,477.58,0.66,00_00_13_00
