objective_parameter,scenario_of_interest,robustness_metric,year,flood_agr,Value,normalized_values,pw_combi
Farmer_Flood_Measure_Costs,D&G&Wp,average,60,01,17.65,0.05,01_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,60,03,15.29,0.04,03_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,60,05,99.95,0.29,05_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,60,07,101.55,0.29,07_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,60,09,62.66,0.18,09_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,60,11,25.87,0.07,11_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,60,13,57.42,0.16,13_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,100,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,100,01,26.58,0.05,01_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,100,03,24.54,0.05,03_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,100,05,110.85,0.22,05_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,100,07,110.73,0.22,07_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,100,09,158.28,0.32,09_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,100,11,82.71,0.17,11_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,100,13,86.59,0.17,13_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,20,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,20,01,0.05,0.0,01_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,20,03,0.03,0.0,03_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,20,05,21.0,0.14,05_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,20,07,26.63,0.18,07_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,20,09,2.75,0.02,09_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,20,11,0.05,0.0,11_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,20,13,0.47,0.01,13_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,60,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,60,01,19.59,0.06,01_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,60,03,16.93,0.05,03_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,60,05,101.12,0.29,05_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,60,07,103.03,0.3,07_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,60,09,63.29,0.18,09_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,60,11,25.96,0.07,11_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,60,13,58.85,0.17,13_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,100,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,100,01,30.0,0.06,01_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,100,03,28.3,0.06,03_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,100,05,111.25,0.22,05_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,100,07,112.26,0.22,07_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,100,09,161.2,0.32,09_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,100,11,86.39,0.17,11_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,100,13,86.68,0.17,13_00_00_00
Farmer_Flood_Measure_Costs,G,average,20,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,G,average,20,01,0.06,0.0,01_00_00_00
Farmer_Flood_Measure_Costs,G,average,20,03,0.03,0.0,03_00_00_00
Farmer_Flood_Measure_Costs,G,average,20,05,21.0,0.14,05_00_00_00
Farmer_Flood_Measure_Costs,G,average,20,07,26.63,0.18,07_00_00_00
Farmer_Flood_Measure_Costs,G,average,20,09,3.01,0.02,09_00_00_00
Farmer_Flood_Measure_Costs,G,average,20,11,0.06,0.0,11_00_00_00
Farmer_Flood_Measure_Costs,G,average,20,13,0.51,0.01,13_00_00_00
Farmer_Flood_Measure_Costs,G,average,60,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,G,average,60,01,13.77,0.04,01_00_00_00
Farmer_Flood_Measure_Costs,G,average,60,03,12.0,0.03,03_00_00_00
Farmer_Flood_Measure_Costs,G,average,60,05,97.62,0.28,05_00_00_00
Farmer_Flood_Measure_Costs,G,average,60,07,98.58,0.28,07_00_00_00
Farmer_Flood_Measure_Costs,G,average,60,09,61.42,0.18,09_00_00_00
Farmer_Flood_Measure_Costs,G,average,60,11,25.67,0.07,11_00_00_00
Farmer_Flood_Measure_Costs,G,average,60,13,54.57,0.16,13_00_00_00
Farmer_Flood_Measure_Costs,G,average,100,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,G,average,100,01,19.72,0.04,01_00_00_00
Farmer_Flood_Measure_Costs,G,average,100,03,17.02,0.03,03_00_00_00
Farmer_Flood_Measure_Costs,G,average,100,05,110.05,0.22,05_00_00_00
